Date,GISTEMP v4,HadCRUT5,NOAA v6.0,Berkeley,Copernicus ERA5,JRA-3Q,
1850,,-0.061,-0.025,-0.13,,,
1851,,0.123,0.081,-0.015,,,
1852,,0.127,0.12,0.014,,,
1853,,0.086,0.066,0.012,,,
1854,,0.065,0.106,0.023,,,
1855,,0.06,0.092,0.028,,,
1856,,0.036,0.024,-0.09,,,
1857,,-0.111,-0.022,-0.231,,,
1858,,-0.032,-0.01,-0.028,,,
1859,,0.075,0.121,0.084,,,
1860,,-0.034,-0.058,-0.072,,,
1861,,-0.073,-0.111,-0.149,,,
1862,,-0.18,-0.177,-0.248,,,
1863,,0.012,-0.036,-0.007,,,
1864,,-0.109,-0.032,-0.039,,,
1865,,0.024,0.085,0.055,,,
1866,,0.015,0.065,0.095,,,
1867,,0,-0.025,0.14,,,
1868,,0.005,0.026,0.096,,,
1869,,0.04,0.099,0.089,,,
1870,,0.029,-0.003,0.019,,,
1871,,-0.012,0.004,-0.015,,,
1872,,0.028,-0.031,0.021,,,
1873,,0.015,-0.032,0.052,,,
1874,,-0.017,-0.064,0.005,,,
1875,,-0.019,-0.051,-0.04,,,
1876,,-0.068,-0.074,-0.043,,,
1877,,0.255,0.285,0.334,,,
1878,,0.345,0.291,0.425,,,
1879,,0.053,0.031,0.073,,,
1880,0.016,0.041,-0.006,0.007,,,
1881,0.099,0.124,0.075,0.123,,,
1882,0.081,0.061,0.013,0.055,,,
1883,0.014,0.01,-0.019,0.002,,,
1884,-0.095,-0.136,-0.126,-0.165,,,
1885,-0.143,-0.115,-0.116,-0.134,,,
1886,-0.128,-0.064,-0.112,-0.158,,,
1887,-0.178,-0.142,-0.168,-0.195,,,
1888,0.016,-0.023,0.067,0.012,,,
1889,0.081,0.107,0.125,0.134,,,
1890,-0.166,-0.15,-0.163,-0.155,,,
1891,-0.035,-0.045,-0.052,-0.039,,,
1892,-0.086,-0.151,-0.088,-0.1,,,
1893,-0.125,-0.138,-0.16,-0.075,,,
1894,-0.118,-0.127,-0.156,-0.069,,,
1895,-0.041,-0.092,-0.043,-0.008,,,
1896,0.075,0.072,0.063,0.081,,,
1897,0.078,0.097,0.08,0.097,,,
1898,-0.086,-0.129,-0.084,-0.106,,,
1899,0.012,0.001,0.015,0.064,,,
1900,0.104,0.122,0.114,0.171,,,
